depthJP,dens1JP
4.7,458.86
5.14,458.86
5.6,425.49
5.57,425.49
5.93,415.6
5.93,415.6
6.69,454.28
6.69,454.28
7,419.95
7.23,419.95
7.65,466.11
7.77,466.11
8.2,445.12
8.4,445.12
8.95,423.41
8.95,423.41
9.68,446.65
9.68,446.65
10.14,457.54
10.15,457.54
11,425.21
11,425.21
11.45,445.1
11.45,445.1
12.1,468.95
12.1,468.95
12.94,459.69
12.94,459.69
13.2,466.48
13.2,466.48
14.24,467.24
14.24,467.24
15.3,452.38
15.4,452.38
15.62,473.68
15.62,473.68
16.43,491.73
16.43,491.73
17.59,503.82
17.6,503.82
18.15,500.25
18.15,500.25
18.52,512.84
18.52,512.84
18.98,504.21
18.98,504.21
20,524.09
20.15,524.09
21.57,529.09
21.57,529.09
22.83,537.95
22.83,537.95
24.11,548.33
24.11,548.33
25.4,548.97
25.4,548.97
26.61,560.35
26.61,560.35
27.8,570.66
27.8,570.66
28.92,570.96
28.92,570.96
29.89,581.49
29.89,581.49
30.94,580.03
30.94,580.03
32.07,584.15
32.07,584.15
33.09,587.99
33.09,587.99
34.23,596.74
34.23,596.74
35.35,603.9
35.35,603.9
36.42,613.76
36.42,613.76
37.15,614.21
37.15,614.21
38.15,608.77
38.15,608.77
39.23,624.67
39.23,624.67
40.17,624.35
40.17,624.35
41.16,631.43
41.16,631.43
42.25,640.48
42.25,640.48
43.31,636.92
43.31,636.92
44.37,644.92
44.37,644.92
45.38,643.83
45.38,643.83
46.38,654.01
46.38,654.01
47.34,659.01
47.34,659.01
48.26,654.77
48.26,654.77
49.23,668.95
49.23,668.95
50.06,670.97
50.06,670.97
51.03,670.23
51.03,670.23
52.01,681.52
52.01,681.52
52.91,672.1
52.91,672.1
53.86,682.15
53.86,682.15
54.85,700.85
54.85,700.85
55.79,687.12
55.79,687.12
56.77,700.59
56.77,700.59
57.76,686.51
57.76,686.51
58.47,699.03
58.47,699.03
59.31,710.41
59.31,710.41
60.04,712.24
60.04,712.24
60.96,708.14
60.96,708.14
61.9,719.08
61.9,719.08
62.78,727.78
62.78,727.78
63.67,716.21
63.67,716.21
64.58,719.75
64.58,719.75
65.52,729.3
65.52,729.3
66.38,741.38
66.38,741.38
67.25,731.22
67.25,731.22
68.19,730.21
68.19,730.21
69.05,748.23
69.05,748.23
69.57,739.55
69.57,739.55
70.64,749.76
70.64,749.76
71.46,742.67
71.46,742.67
72.41,755.76
72.41,755.76
73.26,765.21
73.26,765.21
73.91,758.75
73.91,758.75
74.79,754.82
74.79,754.82
75.4,745.31
75.4,745.31
76.37,788.76
76.37,788.76
77.27,771.16
77.27,771.16
78.09,762.7
78.09,762.7
78.8,770.4
78.8,770.4
79.62,786.84
79.62,786.84
80.36,771.7
80.36,771.7
81.56,783.3
81.56,783.3
83.25,768.3
83.25,768.3
84.2,794.58
84.2,794.58
85.81,786.63
85.81,786.63
86.48,798.13
86.48,798.13
88.24,807.6
88.24,807.6
88.84,799.51
88.84,799.51
90.58,812.98
90.58,812.98
92.34,809.57
92.34,809.57
93.95,829.28
93.95,829.28
95.56,820.39
95.56,820.39
96.9,823.06
96.9,823.06
97.64,819.17
97.64,819.17
98.46,822.78
98.46,822.78
99.5,832.26
99.5,832.26
100.12,834.17
100.12,834.17
101.6,835.4
101.6,835.4
103.08,838.23
103.08,838.23
104.67,841.51
104.67,841.51
105.31,846.99
105.31,846.99
106.86,843.74
106.86,843.74
108.37,843.34
108.37,843.34
109.91,851.62
109.91,851.62
111.4,864.53
111.4,864.53
112.72,843.85
112.72,843.85
114.37,860.01
114.37,860.01
115.77,855.5
115.77,855.5
117.33,866.35
117.33,866.35
118.03,855.59
118.03,855.59
