Density profile NEEM shallow core from traverse 2007		

Bag#	Depth(m)	Density(kg/m3)
3	1.375	330.2767094
4	1.925	342.0723061
5	2.475	394.5817369
6	3.025	343.2138155
7	3.575	418.5534335
8	4.125	389.6351963
9	4.675	410.9433711
10	5.225	406.7578367
11	5.775	425.4024897
12	6.325	453.9402238
13	6.875	448.9936832
14	7.425	455.4622363
15	7.975	472.5848767
16	8.525	468.0188393
17	9.075	482.0974548
18	9.625	495.7955671
19	10.175	491.9905359
20	10.725	495.7955671
21	11.275	504.1666358
22	11.825	511.3961951
23	12.375	502.2641202
24	12.925	528.8993387
25	13.475	518.7859663
26	14.025	544.1194636
27	14.575	538.4119167
28	15.125	549.4465073
29	15.675	553.2515385
30	16.225	554.3930478
31	16.775	560.1005947
32	17.325	562.7641165
33	17.875	558.9590853
34	18.425	578.7452476
35	18.975	578.7452476
36	19.525	570.3741789
37	20.075	577.9842414
38	20.625	577.2232351
39	21.175	584.0722913
40	21.725	597.3899006
41	22.275	601.1949318
42	22.825	600.0534224
43	23.375	598.1509068
44	23.925	603.4779505
45	24.475	609.1854973
46	25.025	599.6729193
47	25.575	621.7421003
48	26.125	619.4590816
49	26.675	619.4590816
50	27.225	616.0345535
51	27.775	632.0156846
52	28.325	630.4936721
53	28.875	641.1477595
54	29.425	633.9182002
55	29.975	641.1477595
56	30.525	642.669772
57	31.075	647.9968157
58	31.625	652.5628532
59	32.175	660.1729156
60	32.725	650.6603375
61	33.275	668.1634811
62	33.825	665.1194562
63	34.375	666.6414686
64	34.925	671.5880092
65	35.475	671.9685123
66	36.025	676.5345498
67	36.575	678.0565623
68	37.125	675.29112
69	37.675	687.5127695
70	38.225	682.2420966
71	38.775	696.7012152
72	39.325	693.6571903
73	39.875	697.4622215
74	40.425	698.984234
75	40.975	704.6917808
76	41.525	697.3399169
77	42.075	709.2155401
78	42.625	716.1068744
79	43.175	710.3993276
80	43.725	711.1532875
81	44.275	723.8732149
82	44.825	716.4873775
83	45.375	721.8144212
84	45.925	712.7482026
85	46.475	735.715906
86	47.025	730.565993
87	47.575	734.7515274
88	48.125	732.4685086
89	48.675	743.122596
90	49.225	741.9810867
91	49.775	738.1760555
92	50.325	741.9810867
93	50.875	752.254671
94	51.425	745.4056148
95	51.975	755.2986959
96	52.525	756.8207084
97	53.075	759.8647334
98	53.625	759.1037271
99	54.175	773.5628457
100	54.725	764.4307708
101	55.275	771.279827
102	55.825	769.7578145
103	56.375	772.8018395
104	56.925	773.1823426
105	57.475	766.7137896
106	58.025	774.7043551
107	58.575	776.2263676
108	59.125	778.1288832
109	59.675	783.0754238
110	60.225	792.9685049
111	60.775	787.6414612
112	61.325	790.3049831
113	61.875	791.8269956
114	62.425	798.6760518
115	62.975	799.8175611
116	63.525	794.8710205
117	64.075	801.3395736
118	64.625	807.4276236
119	65.175	789.1634737
120	65.725	808.5691329
121	66.275	796.7735362
122	66.825	821.1257359
123	67.375	811.6131579
124	67.925	816.1791953
125	68.475	807.4276236
126	69.025	802.1005799
127	69.575	822.6477484
128	70.125	819.9842266
129	70.675	826.0722765
130	71.225	805.5251079
131	71.775	832.9213327
132	72.325	821.1257359
133	72.875	818.4622141
134	73.425	820.3647297
135	73.975	835.2043514
136	74.525	837.8678733
137	75.075	824.9307671
138	75.625	841.2924014
139	76.175	830.638314
140	76.725	836.7263639
141	77.275	838.6288795
142	77.825	861.8395699
143	78.375	803.6225923
144	78.925	842.8144138
145	79.475	826.8332827
146	80.025	845.7665932
