NGRIP 2001 S4
Depth,Density
0.55,302.8805
1.1,330.6974
1.65,313.4202
2.2,336.5683
2.75,360.6339
3.3,380.5394
3.85,361.5572
4.4,375.4075
4.95,416.2704
5.5,414.6584
6.05,385.0692
6.6,417.0011
7.15,443.5518
7.7,453.7035
8.25,430.2764
8.8,466.7739
9.35,462.2934
9.9,477.9316
10.45,487.1818
11,495.2758
11.55,495.2758
12.1,502.9844
12.65,510.693
13.2,510.693
13.75,511.7767
14.3,519.2992
14.85,536.5094
15.4,539.6001
15.95,545.3816
16.5,543.4544
17.05,547.3087
17.6,562.7259
18.15,566.5802
18.7,560.7987
19.25,557.4371
19.8,574.2887
20.35,568.8522
20.9,570.7547
21.45,578.3647
22,584.0723
22.55,585.9748
23.1,589.7798
23.65,595.4874
24.2,591.6824
24.75,601.1949
25.3,605
25.85,610.7075
26.4,608.805
26.95,616.4151
27.5,622.1226
28.05,625.9276
28.6,627.8302
29.15,627.8302
29.7,650.6603
30.25,620.2201
30.8,635.4402
31.35,635.4402
31.9,641.1478
32.45,644.9528
33,650.6603
33.55,656.3679
34.1,652.5629
34.65,658.2704
35.2,662.0754
35.75,663.9779
36.3,663.9779
36.85,675.393
37.4,671.588
37.95,681.1006
38.5,683.0031
39.05,675.393
39.6,683.0031
40.15,692.5157
40.7,692.5157
41.25,694.4182
41.8,694.4182
42.35,700.1257
42.9,705.8333
43.45,707.7358
44,709.6383
44.55,705.8333
45.1,709.6383
45.65,717.2484
46.2,717.2484
46.75,719.1509
47.3,724.4779
47.85,723.7169
48.4,742.7421
48.95,735.893
49.5,737.415
50.05,732.849
50.6,737.415
51.15,729.805
51.7,741.9811
52.25,742.7421
52.8,751.1132
53.35,750.3522
53.9,748.8301
54.45,751.1132
55,754.1572
55.55,757.2012
56.1,755.6792
56.65,758.7232
57.2,759.4842
57.75,772.4213
58.3,771.6603
58.85,773.1823
59.4,776.2264
59.95,773.9433
60.5,781.9339
61.05,785.7389
61.6,783.8364
62.15,783.8364
62.7,785.7389
63.25,789.544
63.8,791.4465
64.35,797.154
64.9,797.154
65.45,793.349
66,799.0566
66.55,802.8616
67.1,800.9591
67.65,810.4716
68.2,812.3742
68.75,814.2767
69.3,816.1792
69.85,812.3742
70.4,818.0817
70.95,793.349
71.5,810.4716
72.05,814.2767
72.6,821.8867
73.15,821.8867
73.7,818.0817
74.25,827.5943
74.8,821.8867
75.35,829.4968
75.9,825.6918
76.45,835.2044
77,827.5943
77.55,833.3018
78.1,839.0094
78.65,846.6194
79.2,844.7169
79.75,839.0094
80.3,842.8144
80.85,842.8144
81.4,844.7169
81.95,842.8144
82.5,850.4245
83.05,842.8144
83.6,846.6194
84.15,854.2295
84.7,861.8396
85.25,842.8144
85.8,818.0817
86.35,884.6698
86.9,848.522
87.45,856.132
88,852.327
88.55,859.9371
89.1,856.132
89.65,859.9371
90.2,850.4245
90.75,858.0345
91.3,867.5471
91.85,837.1069
92.4,842.8144
92.95,844.7169
93.5,859.9371
94.05,856.132
94.6,894.1823
95.15,829.4968
95.7,856.132
96.25,871.3521
96.8,863.7421
97.35,875.1572
97.9,837.1069
98.45,837.1069
99,869.4496
99.55,869.4496
100.1,875.1572
