# WAIS Divide WDC06A Core Density, clean version, 0 to 160 m
# Data collected by Daniel J. Breton using MADGE on 3x3x100 cm core sticks
# MADGE paper: www.igsoc.org/journal/55/194/t09J008.pdf
###############################################################################
# This is the CLEAN version of the data, meaning that most core breaks
# and core ends have been REMOVED from this dataset.  This dataset IS NOT
# recommended for accumulation rate studies because the core breaks / ends, 
# even though they appear as low density measurements, still accurately 
# represent additional accumulated mass at the site.
###############################################################################

Depth	Density
0.003	0.5341
0.007	0.55219
0.01	0.59965
0.013	0.58892
0.017	0.58717
0.02	0.5563
0.023	0.59561
0.026	0.58469
0.03	0.57987
0.033	0.5873
0.036	0.58364
0.04	0.57797
0.043	0.58336
0.046	0.57766
0.05	0.59841
0.053	0.57801
0.056	0.50696
0.059	0.54241
0.063	0.53483
0.066	0.54383
0.069	0.56992
0.073	0.55469
0.076	0.57052
0.079	0.5662
0.083	0.53914
0.086	0.55942
0.089	0.55897
0.093	0.56184
0.096	0.54971
0.099	0.55124
0.102	0.5625
0.106	0.56686
0.109	0.56804
0.112	0.56333
0.116	0.53323
0.119	0.46919
0.122	0.54352
0.126	0.55159
0.129	0.5718
0.132	0.56968
0.136	0.53992
0.139	0.55149
0.142	0.57964
0.145	0.60183
0.149	0.6271
0.152	0.62803
0.155	0.61036
0.159	0.61626
0.162	0.60299
0.165	0.58819
0.169	0.58494
0.172	0.63654
0.175	0.62506
0.179	0.6277
0.182	0.62591
0.185	0.62104
0.189	0.60263
0.192	0.61503
0.195	0.61732
0.198	0.59482
0.202	0.61906
0.205	0.63328
0.208	0.61531
0.212	0.62095
0.215	0.60133
0.218	0.60171
0.222	0.60946
0.225	0.60147
0.228	0.61425
0.232	0.61635
0.235	0.61468
0.238	0.60921
0.241	0.57958
0.245	0.59163
0.248	0.5951
0.251	0.59698
0.255	0.59471
0.258	0.58865
0.261	0.56277
0.265	0.59202
0.268	0.59654
0.271	0.59556
0.275	0.60728
0.278	0.58772
0.281	0.58464
0.284	0.59195
0.288	0.594
0.291	0.59736
0.294	0.59724
0.298	0.61645
0.301	0.57371
0.304	0.57021
0.307	0.54284
0.311	0.53808
0.314	0.535
0.318	0.54879
0.321	0.54607
0.324	0.63733
0.327	0.6533
0.331	0.63849
0.334	0.63816
0.337	0.62606
0.341	0.62713
0.344	0.61674
0.347	0.60344
0.35	0.5828
0.354	0.60525
0.357	0.58375
0.36	0.59854
0.364	0.59472
0.367	0.60365
0.37	0.61047
0.374	0.62188
0.377	0.59216
0.38	0.57706
0.384	0.56691
0.387	0.54454
0.39	0.56182
0.394	0.55259
0.397	0.54809
0.4	0.55572
0.403	0.55773
0.407	0.55287
0.41	0.55364
0.413	0.55626
0.417	0.55292
0.42	0.55115
0.423	0.59726
0.427	0.63964
0.43	0.63245
0.433	0.61336
0.436	0.5914
0.44	0.59187
0.443	0.58646
0.446	0.57759
0.45	0.54252
0.453	0.5571
0.456	0.60809
0.46	0.63075
0.463	0.63301
0.466	0.61964
0.47	0.63087
0.473	0.60194
0.476	0.55508
0.479	0.58676
0.483	0.57575
0.486	0.5489
0.489	0.49859
0.493	0.53161
0.496	0.51687
0.499	0.56299
0.503	0.5626
0.506	0.54401
0.509	0.58879
0.513	0.606
0.516	0.60985
0.519	0.61098
0.522	0.62357
0.526	0.60797
0.529	0.61574
0.532	0.60418
0.536	0.62539
0.539	0.59283
0.542	0.60354
0.546	0.59578
0.549	0.56862
0.552	0.60595
0.556	0.58073
0.559	0.55928
0.562	0.5991
0.566	0.55934
0.569	0.54578
0.572	0.54466
0.575	0.57431
0.579	0.59994
0.582	0.62048
0.585	0.58398
0.589	0.57838
0.592	0.48277
0.595	0.57736
0.599	0.58362
0.602	0.60752
0.605	0.60718
0.609	0.60869
0.612	0.59206
0.615	0.58272
0.618	0.57454
0.622	0.57948
0.625	0.57114
0.628	0.52466
0.632	0.48751
0.635	0.49492
0.638	0.5078
0.642	0.55403
0.645	0.59176
0.648	0.59263
0.651	0.60481
0.655	0.60654
0.658	0.60405
0.661	0.61858
0.665	0.59118
0.668	0.59225
0.671	0.5742
0.675	0.58699
0.678	0.5884
0.681	0.61351
0.684	0.61033
0.688	0.59541
0.691	0.55855
0.695	0.55386
0.698	0.57176
0.701	0.58875
0.704	0.58894
0.708	0.60969
0.711	0.57884
0.714	0.53742
0.718	0.5613
0.721	0.57701
0.724	0.57531
0.728	0.60155
0.731	0.61732
0.734	0.60831
0.738	0.58863
0.741	0.59573
0.744	0.59361
0.747	0.58891
0.751	0.5935
0.754	0.59406
0.757	0.57853
0.761	0.56054
0.764	0.55983
0.767	0.57483
0.77	0.5796
0.774	0.57235
0.777	0.57384
0.78	0.59299
0.784	0.58894
0.787	0.59475
0.79	0.60132
0.794	0.6225
0.797	0.61658
0.8	0.61905
0.804	0.61138
0.807	0.59821
0.81	0.58635
0.814	0.58628
0.817	0.57812
0.82	0.57067
0.823	0.56508
0.827	0.57178
0.83	0.577
0.833	0.5737
0.837	0.56321
0.84	0.56993
0.843	0.56235
0.847	0.55024
0.85	0.55971
0.853	0.55562
0.857	0.58659
0.86	0.5807
0.863	0.58032
0.866	0.57629
0.87	0.56701
0.873	0.54994
0.876	0.57277
0.88	0.53455
0.883	0.5111
0.886	0.54929
0.89	0.55728
0.893	0.56576
0.896	0.56114
0.899	0.57478
0.903	0.55273
0.906	0.55888
0.909	0.57346
0.913	0.56362
0.916	0.50095
0.919	0.52211
0.923	0.56093
0.926	0.55256
0.929	0.53272
0.933	0.54357
0.936	0.57107
0.939	0.5482
0.943	0.53584
0.946	0.56463
0.949	0.56791
0.952	0.56825
0.956	0.55232
0.959	0.5555
0.962	0.58617
0.966	0.60937
0.969	0.56751
0.972	0.6427
0.976	0.59726
0.979	0.58926
0.982	0.59932
0.986	0.61276
0.989	0.59726
0.992	0.59736
0.995	0.59452
0.999	0.5913
1.002	0.5918
1.005	0.59876
1.009	0.60385
1.012	0.59347
1.015	0.59482
1.018	0.59334
1.022	0.58812
1.025	0.59187
1.028	0.59255
1.032	0.58991
1.035	0.58616
1.038	0.5861
1.042	0.57922
1.045	0.51371
1.052	0.59346
1.055	0.61151
1.058	0.59168
1.062	0.60369
1.065	0.6032
1.068	0.62473
1.072	0.61067
1.075	0.59032
1.078	0.60834
1.082	0.59488
1.085	0.59608
1.088	0.59215
1.092	0.61302
1.095	0.63412
1.098	0.62723
1.102	0.63986
1.105	0.62849
1.108	0.62879
1.112	0.64625
1.115	0.64691
1.118	0.6456
1.121	0.63948
1.125	0.6508
1.128	0.62293
1.131	0.61901
1.135	0.62567
1.138	0.65088
1.141	0.64655
1.145	0.64762
1.148	0.64507
1.151	0.64532
1.155	0.67108
1.158	0.66753
1.161	0.67651
1.165	0.66623
1.168	0.6655
1.171	0.64042
1.175	0.65185
1.178	0.64635
1.181	0.63894
1.185	0.63673
1.188	0.64775
1.191	0.64461
1.195	0.61301
1.198	0.60856
1.201	0.59437
1.205	0.62356
1.208	0.65222
1.211	0.63937
1.215	0.65615
1.218	0.64916
1.221	0.64614
1.225	0.65774
1.228	0.6602
1.231	0.63995
1.235	0.63814
1.238	0.6411
1.241	0.63747
1.245	0.63141
1.248	0.63137
1.251	0.63417
1.255	0.63709
1.258	0.62342
1.261	0.61882
1.265	0.59885
1.268	0.61206
1.271	0.61416
1.275	0.62437
1.278	0.62652
1.281	0.61847
1.285	0.6198
1.288	0.61601
1.291	0.62441
1.295	0.61323
1.298	0.61154
1.301	0.61806
1.305	0.6169
1.308	0.6169
1.311	0.5919
1.315	0.60846
1.318	0.61477
1.321	0.60832
1.325	0.60733
1.328	0.60184
1.331	0.59496
1.335	0.59759
1.338	0.58548
1.341	0.57451
1.345	0.57064
1.348	0.57047
1.351	0.58381
1.355	0.57389
1.358	0.58123
1.361	0.5697
1.365	0.5803
1.368	0.57825
1.371	0.5951
1.375	0.61027
1.378	0.60125
1.381	0.59096
1.385	0.59618
1.388	0.58547
1.391	0.61165
1.394	0.598
1.398	0.60261
1.401	0.60874
1.404	0.59462
1.408	0.58854
1.411	0.58727
1.414	0.58286
1.418	0.59366
1.421	0.58159
1.424	0.5952
1.428	0.59277
1.431	0.58924
1.434	0.59626
1.438	0.56608
1.441	0.56959
1.444	0.56872
1.448	0.47862
1.451	0.46309
1.454	0.47497
1.458	0.45857
1.461	0.48134
1.464	0.45652
1.468	0.47742
1.471	0.49755
1.474	0.47014
1.478	0.47128
1.481	0.47164
1.484	0.46959
1.488	0.47096
1.491	0.46879
1.494	0.45059
1.498	0.47258
1.501	0.53865
1.504	0.60714
1.508	0.59102
1.511	0.59684
1.514	0.56131
1.518	0.60625
1.521	0.57909
1.524	0.55356
1.528	0.5781
1.531	0.60144
1.534	0.51436
1.538	0.41549
1.548	0.41991
1.551	0.45317
1.554	0.44713
1.558	0.44601
1.561	0.44527
1.564	0.45713
1.567	0.45417
1.571	0.449
1.574	0.4514
1.577	0.44421
1.581	0.43969
1.584	0.47433
1.587	0.46249
1.591	0.47771
1.594	0.47014
1.597	0.45418
1.601	0.44426
1.604	0.45901
1.607	0.45853
1.611	0.45897
1.614	0.44875
1.617	0.44595
1.621	0.44268
1.624	0.45188
1.627	0.45945
1.631	0.45631
1.634	0.4428
1.637	0.44702
1.641	0.4435
1.644	0.43981
1.647	0.4517
1.651	0.44931
1.654	0.44872
1.657	0.45203
1.661	0.44998
1.664	0.44401
1.667	0.53997
1.671	0.46586
1.674	0.46904
1.677	0.46971
1.681	0.45463
1.684	0.46676
1.687	0.45419
1.691	0.4742
1.694	0.47205
